Beer Name (Full),Name,Brewery,Style_Main,Style_Sub,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews
Alaskan Brewing Co. Alaskan Amber,Amber,Alaskan Brewing Co.,Altbier,None,5.3,25,50,13,32,9,47,74,33,0,33,57,8,111,3.498994,3.636821,3.556338,3.643863,3.847082,497
Long Trail Brewing Co. Double Bag,Double Bag,Long Trail Brewing Co.,Altbier,None,7.2,25,50,12,57,18,33,55,16,0,24,35,12,84,3.798337,3.846154,3.904366,4.024948,4.034304,481
Long Trail Brewing Co. Long Trail Ale,Long Trail Ale,Long Trail Brewing Co.,Altbier,None,5.0,25,50,14,37,6,42,43,11,0,10,54,4,62,3.409814,3.667109,3.600796,3.6313,3.830239,377
Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Doppelsticke,Doppelsticke,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,Altbier,None,8.5,25,50,13,55,31,47,101,18,1,49,40,16,119,4.148098,4.033967,4.150815,4.205163,4.005435,368
Ninkasi Brewing Company Sleigh'r Dark Doüble Alt Ale,Sleigh'r Dark Doüble Alt Ale,Ninkasi Brewing Company,Altbier,None,7.2,25,50,25,51,26,44,45,9,1,11,51,20,95,3.625,3.973958,3.734375,3.765625,3.817708,96
Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Sticke,Sticke,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,Altbier,None,6.0,25,50,22,45,13,46,62,25,1,34,60,4,103,4.007937,4.007937,4.087302,4.192063,4.230159,315
Widmer Brothers Brewing Company Okto,Okto Festival Ale,Widmer Brothers Brewing Company,Altbier,None,5.3,25,50,28,40,3,40,58,29,0,36,54,8,97,3.322581,3.637097,3.366935,3.354839,3.475806,124
Southampton Publick House Southampton Altbier,Southampton Altbier,Southampton Publick House,Altbier,None,5.0,25,50,18,49,5,37,73,22,0,21,37,4,98,3.496629,3.735955,3.588764,3.579775,3.738202,445
The Olde Mecklenburg Brewery OMB Copper,Copper,The Olde Mecklenburg Brewery,Altbier,None,4.8,25,50,25,35,4,38,39,13,1,8,60,16,97,3.847826,4.043478,4.119565,3.98913,4.184783,46
Brauerei Pinkus Mueller Organic Münster Alt,Organic Münster Alt,Brauerei Pinkus Mueller,Altbier,None,5.1,25,50,35,31,5,35,50,55,5,52,66,8,77,3.534694,3.528571,3.608163,3.587755,3.767347,245
Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Altbier (Classic),Altbier,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,Altbier,None,4.7,25,50,34,48,9,55,59,25,1,32,68,12,121,3.887701,4.061497,3.949198,4.053476,4.101604,187
Yazoo Brewing Company Gerst Amber,Gerst Amber,Yazoo Brewing Company,Altbier,None,5.1,25,50,10,19,1,21,30,11,4,8,24,2,65,3.833333,4.333333,3.833333,4.0,4.0,3
Free State Brewing Co. Ad Astra Ale,Ad Astra Ale,Free State Brewing Co.,Altbier,None,5.6,25,50,7,30,5,43,43,13,1,13,50,6,93,3.52381,3.904762,3.77381,3.690476,3.869048,42
